Feature,Importance
C_in_gNm3,56.1159482120625
DustLoad,29.7054429698373
K_roll_mean30,3.79020896361423
LoadPressure,2.6660907746595
Q_Nm3h,1.54720428758589
K_lag10,1.308418311791
K_lag15,1.00573991483677
K_lag3,0.721152646110656
K_roll_std30,0.704066950212525
K_lag30,0.52655644535878
K_lag5,0.514372708070114
Temp_C,0.178199190900024
K_lag1,0.17251750865716
T4_s,0.149524601640043
U_front,0.141190381277658
U_sum,0.141162604398088
T3_s,0.117188485218336
U1_kV,0.0426000725879924
U_sqsum,0.0409081981024358
U2_kV,0.0379797048127474
U_mean,0.0355375623684536
U3_kV,0.0343646252403256
T1_s,0.0303624436878576
U_back,0.0279418011907369
T_mean,0.0275261586089132
T_diff_back_front,0.0259087805428066
T_back,0.0199720329524416
dT1,0.0176579227990952
dT2,0.015296893504523
Cout_lag5,0.0151246476984723
T2_s,0.0145804507931925
U_ratio_front_back,0.013921487731349
dU3,0.0136615427543563
Cout_roll_std30,0.0128966453335957
Cout_lag3,0.0108973354882891
dU4,0.00921863565515169
Cout_roll_mean30,0.00779110518134357
Cout_lag15,0.00638413767035529
dT3,0.00576198341394977
Cout_lag10,0.00518209393854821
dT4,0.00512052316275033
T_front,0.00500232406656598
Cout_lag1,0.0043156972288039
U4_kV,0.00405388656943655
dU1,0.00393259138939851
dU2,0.000779612838796976
Cout_lag30,0.000334146456698609
