Model,Accuracy,Precision,Recall,F1,F2,AUC,TP,TN,FP,FN
RidgeLogistic_PeakCandidate,0.887782204515272,0.163934426229508,0.652173913043478,0.262008733624454,0.408719346049046,0.876161405598571,30,1307,153,16
CatBoost_PeakCandidate,0.906374501992032,0.208588957055215,0.739130434782609,0.325358851674641,0.489913544668588,0.910527099463967,34,1331,129,12
