Feature,Importance
C_in_gNm3,60.4600176739274
DustLoad,29.8492772597769
K_roll_mean30,3.07164523279299
Q_Nm3h,1.31641387902305
K_lag10,1.05025543152214
K_lag15,0.847623228739925
K_lag3,0.619811552379974
K_roll_std30,0.48517242974569
LoadPressure,0.437534144396597
K_lag5,0.332856401118199
K_lag30,0.251552660443412
K_lag1,0.200419002647062
Temp_C,0.179217211766616
T4_s,0.145517112845113
U_front,0.135211172600763
T3_s,0.125286726051103
T_mean,0.0514953828532525
U1_kV,0.0435667174443528
U_sqsum,0.0390643565374005
U3_kV,0.0315058580232581
U_sum,0.0283203165022093
T1_s,0.0264154097035799
U2_kV,0.0247959566913685
U_back,0.0247590960751477
T_diff_back_front,0.0245810687913534
T_back,0.0237197335540721
U_ratio_front_back,0.0184876716881852
Cout_lag5,0.0145502095872707
T2_s,0.0139259538414381
dT1,0.0136605083477036
Cout_lag3,0.0129703510293711
dT2,0.0123765696460909
dU3,0.0119838039417049
U_mean,0.0116982516556435
Cout_roll_mean30,0.0116895790435639
Cout_lag10,0.00881853593591148
dU4,0.00849930108841326
Cout_roll_std30,0.00812506215616672
Cout_lag1,0.00689723205758702
U4_kV,0.00647795573035588
dT4,0.00426855958185748
T_front,0.0032041254908197
dU1,0.00315525578818806
Cout_lag15,0.00252467232672744
Cout_lag30,0.000324874227550191
dT3,0.000208478299645024
dU2,0.000118032582906998
