iter	Passed	Remaining
453	1029	3505
454	1031	3502
455	1033	3498
456	1035	3495
457	1037	3492
458	1039	3489
459	1041	3486
460	1043	3484
461	1046	3483
462	1048	3481
463	1050	3478
464	1052	3474
465	1054	3471
466	1056	3468
467	1058	3465
468	1061	3464
469	1063	3460
470	1064	3456
471	1066	3453
472	1068	3449
473	1070	3444
474	1071	3441
475	1074	3439
476	1076	3436
477	1078	3433
478	1080	3431
479	1082	3428
480	1084	3425
481	1086	3422
482	1088	3418
483	1090	3416
484	1092	3412
485	1094	3409
486	1096	3406
487	1098	3404
488	1100	3401
489	1103	3399
490	1105	3396
491	1107	3394
492	1109	3392
493	1111	3389
494	1114	3387
495	1116	3384
496	1118	3381
497	1120	3379
498	1122	3377
499	1125	3376
500	1127	3374
501	1130	3372
502	1132	3370
503	1134	3367
504	1136	3364
505	1139	3364
506	1142	3363
507	1144	3360
508	1146	3358
509	1148	3355
510	1150	3351
511	1151	3347
512	1154	3345
513	1156	3343
514	1158	3340
515	1160	3338
516	1163	3336
517	1165	3335
518	1168	3333
519	1170	3331
520	1173	3330
521	1175	3327
522	1177	3324
523	1179	3321
524	1181	3319
525	1183	3316
526	1185	3313
527	1188	3312
528	1189	3308
529	1191	3305
530	1193	3302
531	1195	3299
532	1197	3296
533	1199	3293
534	1201	3291
535	1204	3289
536	1206	3286
537	1208	3283
538	1210	3280
539	1212	3277
540	1213	3273
541	1215	3270
542	1217	3267
543	1219	3264
544	1221	3260
545	1223	3257
546	1225	3254
547	1227	3251
548	1229	3248
549	1231	3246
550	1233	3244
551	1235	3241
552	1237	3238
553	1239	3236
554	1242	3233
555	1244	3231
556	1246	3229
557	1248	3226
558	1250	3223
559	1252	3220
560	1254	3218
561	1256	3215
562	1258	3212
563	1260	3209
564	1262	3207
565	1265	3205
566	1267	3203
567	1270	3201
568	1272	3199
569	1273	3196
570	1276	3193
571	1277	3190
572	1279	3187
573	1282	3184
574	1284	3182
575	1286	3179
576	1287	3176
577	1289	3172
578	1291	3169
579	1293	3166
580	1295	3164
581	1298	3163
582	1300	3161
583	1302	3158
584	1304	3155
585	1306	3151
586	1307	3148
587	1310	3145
588	1311	3142
589	1313	3139
590	1315	3136
591	1317	3133
592	1319	3131
593	1321	3128
594	1323	3126
595	1325	3123
596	1327	3120
597	1329	3116
598	1331	3114
599	1333	3111
600	1335	3108
601	1336	3104
602	1339	3102
603	1340	3099
604	1343	3096
605	1345	3094
606	1347	3092
607	1349	3090
608	1352	3088
609	1354	3086
610	1356	3083
611	1358	3080
612	1361	3079
613	1363	3077
614	1364	3073
615	1366	3070
616	1368	3067
617	1370	3064
618	1372	3061
619	1374	3058
620	1376	3055
621	1377	3052
622	1379	3049
623	1381	3046
624	1383	3042
625	1384	3039
626	1386	3035
627	1388	3032
628	1390	3030
629	1392	3028
630	1394	3025
631	1396	3022
632	1398	3019
633	1399	3016
634	1402	3014
635	1404	3011
636	1406	3008
637	1408	3006
638	1409	3002
639	1411	3000
640	1413	2997
641	1415	2993
642	1417	2990
643	1418	2987
644	1421	2985
645	1423	2983
646	1425	2980
647	1426	2977
648	1428	2973
649	1430	2971
650	1432	2968
651	1434	2966
652	1436	2964
653	1439	2961
654	1440	2958
655	1442	2955
656	1444	2952
657	1445	2948
658	1447	2946
659	1449	2943
660	1451	2940
661	1453	2937
662	1455	2935
663	1457	2932
664	1459	2929
665	1461	2926
666	1463	2923
667	1465	2921
668	1468	2920
669	1470	2918
670	1472	2915
671	1474	2913
672	1476	2910
673	1477	2907
674	1479	2904
675	1481	2901
676	1483	2898
677	1485	2895
678	1486	2892
679	1488	2889
680	1490	2886
681	1492	2884
682	1495	2883
683	1498	2882
684	1500	2880
685	1502	2877
686	1504	2874
687	1506	2871
688	1507	2869
689	1509	2866
690	1511	2863
691	1513	2860
692	1515	2857
693	1517	2855
694	1519	2853
695	1521	2850
696	1523	2848
697	1526	2846
698	1528	2844
699	1530	2842
700	1532	2839
701	1534	2836
702	1536	2834
703	1537	2830
704	1539	2828
705	1541	2824
706	1543	2822
707	1545	2819
708	1547	2817
709	1548	2814
710	1550	2811
711	1552	2809
712	1555	2806
713	1557	2804
714	1559	2802
715	1560	2798
716	1562	2795
717	1564	2792
718	1566	2790
719	1567	2787
720	1569	2784
721	1571	2781
722	1573	2779
723	1575	2777
724	1577	2774
725	1579	2771
726	1581	2769
727	1583	2766
728	1584	2763
729	1586	2760
730	1601	2780
731	1603	2778
732	1605	2775
733	1607	2771
734	1608	2768
735	1610	2765
736	1612	2762
737	1613	2759
738	1615	2756
739	1616	2753
740	1618	2750
741	1620	2748
742	1622	2745
743	1624	2742
744	1626	2739
745	1628	2736
746	1629	2733
747	1631	2731
748	1633	2728
749	1635	2726
750	1637	2723
751	1639	2721
752	1641	2718
753	1643	2715
754	1645	2712
755	1646	2709
756	1648	2707
757	1650	2704
758	1652	2701
759	1654	2700
760	1656	2697
761	1658	2694
762	1660	2692
763	1662	2689
764	1664	2687
765	1667	2686
766	1669	2684
767	1671	2681
768	1673	2678
769	1674	2675
770	1676	2672
771	1678	2670
772	1680	2667
773	1682	2664
774	1683	2661
775	1685	2658
776	1687	2655
777	1689	2653
778	1691	2650
779	1692	2647
780	1694	2645
781	1696	2642
782	1698	2640
783	1701	2638
784	1703	2635
785	1704	2633
786	1707	2631
787	1709	2628
788	1710	2625
789	1712	2623
790	1714	2620
791	1715	2617
792	1717	2614
793	1719	2612
794	1722	2610
795	1724	2608
796	1726	2606
797	1728	2604
798	1731	2602
799	1732	2599
800	1734	2596
801	1736	2593
802	1738	2591
803	1740	2588
804	1741	2585
805	1743	2582
806	1745	2580
807	1746	2577
808	1748	2574
809	1751	2572
810	1752	2569
811	1754	2567
812	1756	2564
813	1758	2562
814	1760	2559
815	1762	2557
816	1764	2554
817	1765	2551
818	1767	2549
819	1769	2546
820	1771	2544
821	1773	2541
822	1775	2539
823	1777	2536
824	1779	2533
825	1780	2530
