iter	Logloss
154	0.249722434
155	0.2493495077
156	0.2484094751
157	0.2477059221
158	0.2464202413
159	0.245815416
160	0.2455065667
161	0.2448013572
162	0.2440553949
163	0.243899052
164	0.2430535051
165	0.2415361274
166	0.2404269945
167	0.2396464985
168	0.2392311636
169	0.2387705596
170	0.2381033165
171	0.2377290221
172	0.2368273621
173	0.2355839866
174	0.2349396734
175	0.2339516226
176	0.233533988
177	0.2332137421
178	0.2329207673
179	0.2323847431
180	0.2320505619
181	0.2311809671
182	0.2306719455
183	0.2304364157
184	0.2296426107
185	0.2292290654
186	0.229006765
187	0.2287010225
188	0.2281362548
189	0.2276190814
190	0.2269499347
191	0.2265973015
192	0.2260668432
193	0.2249235005
194	0.2244023845
195	0.2239421085
196	0.2235040818
197	0.2224709648
198	0.2217456817
199	0.2210108202
200	0.2205560421
201	0.2198274519
202	0.219173311
203	0.2184880284
204	0.218208278
205	0.2169086853
206	0.2162275044
207	0.2158498794
208	0.2155277961
209	0.2150480534
210	0.2148518916
211	0.2143491058
212	0.213887202
213	0.2131270538
214	0.2122814622
215	0.2116452805
216	0.2111540064
217	0.2100775818
218	0.2098734485
219	0.2094865096
220	0.2087394802
221	0.2083382297
222	0.2080063154
223	0.2078971941
224	0.2072844691
225	0.2069340366
226	0.2063234592
227	0.2057751547
228	0.2053030704
229	0.2047973422
230	0.2043871961
231	0.2034211992
232	0.2029675487
233	0.2023747814
234	0.2022832411
235	0.2014827928
236	0.2008148851
237	0.2003407754
238	0.2000886742
239	0.1995159448
240	0.1988102328
241	0.1980445179
242	0.1977904087
243	0.1973947815
244	0.1970181837
245	0.1967445269
246	0.1964032756
247	0.1957797567
248	0.1950614355
249	0.194656025
250	0.1942657917
251	0.1938003847
252	0.1931109007
253	0.192720366
254	0.1925331334
255	0.1923578246
256	0.1916057558
257	0.1912659383
258	0.1909928849
259	0.1903151395
260	0.1895715644
261	0.189228037
262	0.188962116
263	0.1887437151
264	0.1883824837
265	0.187891733
266	0.1876570869
267	0.1871548295
268	0.1860662035
269	0.1854819947
270	0.1852817031
271	0.1849673325
272	0.1845230117
273	0.1841671904
274	0.1839561967
275	0.1830980439
276	0.1824388246
277	0.1819689088
278	0.1814425181
279	0.1805337583
280	0.1801150755
281	0.1795093265
282	0.1791551376
283	0.1788483113
284	0.1786115015
285	0.1780302001
286	0.1777365344
287	0.177471699
288	0.1767685832
289	0.176385341
290	0.1757639116
291	0.1752991656
292	0.1749813621
293	0.1743141889
294	0.1736669279
295	0.1733275635
296	0.1727411596
297	0.1723723045
298	0.1715201826
299	0.1709319379
300	0.1698854398
301	0.1696149169
302	0.1691743483
303	0.1688936369
304	0.1682924425
305	0.167606515
306	0.1672459181
307	0.1666721955
308	0.1660833227
309	0.1655974094
310	0.1650529698
311	0.1645795301
312	0.1639670916
313	0.1636504308
314	0.1630728927
315	0.1624534566
316	0.1619492854
317	0.1612543899
318	0.1606690683
319	0.1600504326
320	0.1593702921
321	0.1590476322
322	0.1586422337
323	0.1580473469
324	0.1572716473
325	0.1568053283
326	0.1562354533
327	0.1556068198
328	0.1552278054
329	0.1543876313
330	0.1537332009
331	0.1532857977
332	0.1528213703
333	0.1523314349
334	0.151283688
335	0.1502790438
336	0.1497239148
337	0.1494885373
338	0.1491129233
339	0.1485712647
340	0.1479420264
341	0.1470243938
342	0.1466377186
343	0.1461490545
344	0.1458976304
345	0.1454574176
346	0.1447401146
347	0.1441996769
348	0.1437710909
349	0.1431317213
350	0.1427531101
351	0.1423500607
352	0.1419490419
353	0.1410806744
354	0.1405578957
355	0.1401913431
356	0.1396507797
357	0.1392967246
358	0.1386766879
359	0.1379966059
360	0.1374406175
361	0.1370803364
362	0.136631113
363	0.1360360148
364	0.1354240597
365	0.135131237
366	0.134876563
367	0.134400754
368	0.1340681875
369	0.1334626038
370	0.1329950408
371	0.1323709586
372	0.1320029964
373	0.1316024846
374	0.1311726265
375	0.1306630916
376	0.1300616426
377	0.1292134246
378	0.1288700432
379	0.1284218986
380	0.1281230088
381	0.1275199299
382	0.1272453696
383	0.126770203
384	0.1265750896
385	0.1261417557
386	0.1256613384
387	0.1253677144
388	0.1250743421
389	0.1245297648
390	0.1240017471
391	0.1236140887
392	0.1231561043
393	0.1226217792
394	0.1223892031
395	0.1218234775
396	0.121318228
397	0.1206979783
398	0.1202561045
399	0.1198274927
400	0.1193946797
401	0.1191882334
402	0.1184670606
403	0.1180919854
404	0.1177732803
405	0.1170133263
406	0.1165916942
407	0.1162665938
408	0.1156968191
409	0.1151127986
410	0.1148225675
411	0.1146170028
412	0.1140072231
413	0.1136969203
414	0.113230035
415	0.112811269
416	0.1123774585
417	0.1119500334
418	0.1113569592
419	0.1111258722
420	0.1107455639
421	0.1105743194
422	0.1102474038
423	0.109834961
424	0.1094933291
425	0.1091529611
426	0.1089992152
427	0.1085851412
428	0.1081804261
429	0.1079483282
430	0.107741721
431	0.1074257447
432	0.10694871
433	0.1067935315
434	0.1065087255
435	0.1061897178
436	0.1056921661
437	0.1053626
438	0.1052396871
439	0.1049850966
440	0.1046012082
441	0.1041668347
442	0.1038058018
443	0.1033984295
444	0.1030351289
445	0.1029671636
446	0.1026004666
447	0.1023005213
448	0.1021202868
449	0.1017226927
450	0.1013760651
451	0.1010785013
452	0.100736762
453	0.1004076073
454	0.1002260475
455	0.09985267356
456	0.09951138116
457	0.09910138065
458	0.09873919359
459	0.09837450434
460	0.09806545129
461	0.09771371182
462	0.09741729614
463	0.09697581896
464	0.09672047665
465	0.09639563451
466	0.09610030479
467	0.09565941766
468	0.09534602309
469	0.09506081195
470	0.09474645811
471	0.0945524268
472	0.09428595872
473	0.09398318825
474	0.09369415698
475	0.09344094433
476	0.09303731541
477	0.09263919659
478	0.09242208051
479	0.09202993785
480	0.09147173021
481	0.09119379485
482	0.09119089963
483	0.09107503054
484	0.09095736266
485	0.09063429605
486	0.09039092953
487	0.09012956776
488	0.09012706692
489	0.08986965979
490	0.08940241709
491	0.08924769627
492	0.08886701429
493	0.08858084875
494	0.08852144123
495	0.08815755726
496	0.08789865786
497	0.08767167415
498	0.08752956522
499	0.08736046719
500	0.08717602899
501	0.08694152429
502	0.08667542008
503	0.08656651683
504	0.08652685888
505	0.08639901702
506	0.08606695384
507	0.0860362156
508	0.08577464435
509	0.08547255673
510	0.08517298958
511	0.08489084713
512	0.08464376689
513	0.08440681998
514	0.08421648312
515	0.08410774648
516	0.0840199942
517	0.08369755194
518	0.08369546378
519	0.08346603456
520	0.08346387428
521	0.08289729913
522	0.08260778022
523	0.08246620896
524	0.08236085745
525	0.0821378958
526	0.08164475285
527	0.08145866344
528	0.08124986718
529	0.08100089634
530	0.08070104073
531	0.0806465807
