iter	Logloss
0	0.6793522712
1	0.6633015607
2	0.6463365877
3	0.62941163
4	0.6197347258
5	0.5998785436
6	0.5898373352
7	0.5790029903
8	0.5710365445
9	0.5586777566
10	0.5469084305
11	0.5402957574
12	0.5333821928
13	0.5233166052
14	0.5145240429
15	0.5091999543
16	0.4995220171
17	0.4921009519
18	0.4869248904
19	0.4810638956
20	0.4710181755
21	0.4660216532
22	0.461238354
23	0.4575721959
24	0.4530325062
25	0.4502608359
26	0.4469599718
27	0.443453538
28	0.4389001271
29	0.4361844981
30	0.4335335008
31	0.4302628048
32	0.4259504002
33	0.4215582387
34	0.4185729425
35	0.4147772476
36	0.4109390369
37	0.4078901437
38	0.406577817
39	0.403223647
40	0.3998038463
41	0.3973291735
42	0.3935902648
43	0.3906530067
44	0.3880882202
45	0.3862495409
46	0.384562995
47	0.3829445451
48	0.3794732584
49	0.3756395604
50	0.3737760821
51	0.3717782985
52	0.3705504918
53	0.3681310139
54	0.3650179233
55	0.3636749817
56	0.3619855509
57	0.3594195271
58	0.3565480585
59	0.3551644157
60	0.3533617311
61	0.352172689
62	0.3510646331
63	0.3500785572
64	0.3492717275
65	0.3469125903
66	0.3458261803
67	0.3438233993
68	0.3417410835
69	0.3404705313
70	0.3383833105
71	0.337400637
72	0.3361510296
73	0.3337887845
74	0.3322906444
75	0.3300990506
76	0.3289513913
77	0.328405575
78	0.3268030226
79	0.3252236259
80	0.3243260038
81	0.3232786682
82	0.3222167601
83	0.3206295308
84	0.3199905487
85	0.3186102881
86	0.3171964451
87	0.3163026295
88	0.3153159082
89	0.313635289
90	0.3127520355
91	0.3110380979
92	0.3102454894
93	0.3090118061
94	0.3082676448
95	0.3070039506
96	0.3048677669
97	0.3038884559
98	0.3028669375
99	0.2998908155
100	0.2990327222
101	0.297748873
102	0.2964498296
103	0.2938352935
104	0.2931075364
105	0.2923147437
106	0.2912581169
107	0.2901181565
108	0.2895645724
109	0.2888222475
110	0.2869407373
111	0.2862274396
112	0.2851964321
113	0.2841027355
114	0.2827995629
115	0.2818376512
116	0.281429432
117	0.2809235788
118	0.2796457329
119	0.2786766314
120	0.2777260812
121	0.2772951489
122	0.2764365136
123	0.275936335
124	0.2745863898
125	0.2735340476
126	0.2722481416
127	0.2715490122
128	0.2701556804
129	0.2690959598
130	0.2670672314
131	0.2663382629
132	0.2656300754
133	0.2645555487
134	0.2638095178
135	0.2632700267
136	0.2625719061
137	0.2620652705
138	0.2611688277
139	0.260041391
140	0.2596445441
141	0.2589466219
142	0.2584204796
143	0.257434933
144	0.2568030354
145	0.2561009155
146	0.2555685389
147	0.2548188166
148	0.2540695133
149	0.2536015798
150	0.2528899362
151	0.2523551464
152	0.2506191381
153	0.2501468658
